LNEC Test File eXtractor

File: laquilaReducedScale.tgt

Created in: 2026-02-25 21:53:29.222380

Number of channels: 6

Name:	DispT	DispL	DispV	AccT	AccL	AccV
Type:	Displacement	Displacement	Displacement	Acceleration	Acceleration	Acceleration
Unit:	m	m	m	m/s^2	m/s^2	m/s^2
No. of Samples:	8982	8982	8982	8982	8982	8982
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	44.905	44.905	44.905	44.905	44.905	44.905
Data:
DispT	DispL	DispV	AccT	AccL	AccV
-9.252844183816459e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-9.252844183816459e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-9.252844183816459e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-9.252844183816459e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-9.252844183816459e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-9.252844183816459e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-9.84613418444235e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-9.84613418444235e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-9.84613418444235e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-9.84613418444235e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-9.84613418444235e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.0439424185068243e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.0439424185068243e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.0439424185068243e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.0439424185068243e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.0439424185068243e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.1032714185694135e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.1032714185694135e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.1032714185694135e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.1032714185694135e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.1032714185694135e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.1626004186320028e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.1626004186320028e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.1626004186320028e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.1626004186320028e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.1626004186320028e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.1626004186320028e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.2219294186945921e-05	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-1.2219294186945921e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.2219294186945921e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.2219294186945921e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.2219294186945921e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.2812584187571812e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.2812584187571812e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.2812584187571812e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.2812584187571812e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.2812584187571812e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.3405874188197706e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.3405874188197706e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.3405874188197706e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.3405874188197706e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.3405874188197706e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.39991641888236e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.39991641888236e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.39991641888236e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.39991641888236e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.39991641888236e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.459245418944949e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.459245418944949e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.459245418944949e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.459245418944949e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.459245418944949e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.5185744190075384e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.5185744190075384e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.5185744190075384e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.5185744190075384e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.5185744190075384e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.5185744190075384e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.5779034190701274e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.5779034190701274e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.5779034190701274e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.5779034190701274e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.5779034190701274e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.637232419132717e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.637232419132717e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.637232419132717e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.637232419132717e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.637232419132717e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.6965614191953062e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.6965614191953062e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.6965614191953062e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.6965614191953062e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.6965614191953062e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.7558904192578954e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.7558904192578954e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.7558904192578954e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.7558904192578954e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.7558904192578954e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.7558904192578954e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.8152194193204846e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.8152194193204846e-05	0.0	0.0	4.534395098419853e-06	0.0	0.0
-1.8152194193204846e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.8152194193204846e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.8152194193204846e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.874548419383074e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.874548419383074e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.874548419383074e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.874548419383074e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.874548419383074e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.874548419383074e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.933877419445663e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.933877419445663e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.933877419445663e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
-1.933877419445663e-05	0.0	0.0	2.4312910156145255e-05	0.0	0.0
